date,state,tests,cases,hospitalizations,deaths
2020-03-02,NY,0,0,0,0
2020-03-03,NY,1,1,0,0
2020-03-04,NY,9,0,0,0
2020-03-05,NY,20,2,0,0
2020-03-06,NY,92,22,0,0
2020-03-07,NY,66,11,0,0
2020-03-08,NY,200,24,0,0
2020-03-09,NY,307,28,0,0
2020-03-10,NY,401,63,0,0
2020-03-11,NY,425,44,0,0
2020-03-12,NY,553,56,0,0
2020-03-13,NY,762,102,0,0
2020-03-14,NY,1290,164,0,0
2020-03-15,NY,1293,131,0,3
2020-03-16,NY,1936,294,0,4
2020-03-17,NY,2907,432,0,0
2020-03-18,NY,4553,1009,0,5
2020-03-19,NY,7698,1769,0,0
2020-03-20,NY,10124,2950,0,23
2020-03-21,NY,13087,3254,0,9
2020-03-22,NY,16029,4812,0,70
2020-03-23,NY,16812,5707,0,0
2020-03-24,NY,12952,4790,0,96
2020-03-25,NY,12142,5145,0,75
2020-03-26,NY,18651,6448,0,100
2020-03-27,NY,16315,7379,0,134
2020-03-28,NY,17444,7681,0,209
2020-03-29,NY,16401,7195,0,237
2020-03-30,NY,14115,6984,0,253
2020-03-31,NY,18648,9298,0,332
2020-04-01,NY,15701,7917,0,391
2020-04-02,NY,18031,8669,0,432
2020-04-03,NY,21555,10482,0,562
2020-04-04,NY,23101,10841,0,630
2020-04-05,NY,18659,8327,0,594
2020-04-06,NY,18531,8658,0,599
2020-04-07,NY,19247,8174,0,731
2020-04-08,NY,25095,10453,0,779
2020-04-09,NY,26396,10621,0,799
2020-04-10,NY,26336,10575,0,777
2020-04-11,NY,23095,9946,0,783
2020-04-12,NY,20621,8236,0,758
2020-04-13,NY,16756,6337,0,671
2020-04-14,NY,20786,7177,0,778
2020-04-15,NY,26869,11571,0,752
2020-04-16,NY,24567,8505,0,606
2020-04-17,NY,22644,7358,0,630
2020-04-18,NY,23309,7090,0,540
2020-04-19,NY,21023,6054,0,507
2020-04-20,NY,16306,4726,0,478
2020-04-21,NY,15464,4178,0,481
2020-04-22,NY,20657,5526,0,474
2020-04-23,NY,25938,6244,0,438
2020-04-24,NY,34736,8130,0,422
2020-04-25,NY,46912,10553,0,437
2020-04-26,NY,27782,5902,0,367
2020-04-27,NY,20745,3951,0,337
2020-04-28,NY,18899,3110,0,335
2020-04-29,NY,27487,4585,0,377
2020-04-30,NY,28155,4681,0,306
2020-05-01,NY,26802,3942,0,289
2020-05-02,NY,31579,4663,0,299
2020-05-03,NY,26894,3438,0,280
2020-05-04,NY,21399,2538,0,226
2020-05-05,NY,21589,2239,0,230
2020-05-06,NY,27022,2786,0,232
2020-05-07,NY,33995,3491,0,951
2020-05-08,NY,31627,2938,0,217
2020-05-09,NY,32225,2715,0,226
2020-05-10,NY,29230,2273,0,207
2020-05-11,NY,21652,1660,0,162
2020-05-12,NY,20463,1430,0,205
2020-05-13,NY,33794,2176,0,168
2020-05-14,NY,39850,2390,0,157
2020-05-15,NY,39291,2762,0,134
2020-05-16,NY,40669,2419,0,174
2020-05-17,NY,34679,1889,0,141
2020-05-18,NY,26161,1250,0,110
2020-05-19,NY,28182,1474,0,114
2020-05-20,NY,38097,1525,0,133
2020-05-21,NY,49219,2088,0,107
2020-05-22,NY,45738,1696,0,112
2020-05-23,NY,51268,1772,0,87
2020-05-24,NY,47765,1589,0,109
2020-05-25,NY,39623,1249,0,97
2020-05-26,NY,34679,1072,0,76
2020-05-27,NY,37416,1129,0,79
2020-05-28,NY,65245,1768,0,79
2020-05-29,NY,67341,1551,0,58
2020-05-30,NY,61251,1376,0,68
2020-05-31,NY,58444,1110,0,57
2020-06-01,NY,49952,941,0,54
2020-06-02,NY,54054,1329,0,64
2020-06-03,NY,61642,1045,0,56
2020-06-04,NY,63559,1048,0,54
2020-06-05,NY,66480,1075,0,42
2020-06-06,NY,77895,1108,0,37
2020-06-07,NY,60435,781,0,47
2020-06-08,NY,58054,702,0,40
2020-06-09,NY,49973,683,0,49
2020-06-10,NY,62297,674,0,56
2020-06-11,NY,60839,736,0,38
2020-06-12,NY,72395,822,0,53
2020-06-13,NY,70840,916,0,32
2020-06-14,NY,62359,694,0,24
2020-06-15,NY,56611,620,0,28
2020-06-16,NY,60568,631,0,29
2020-06-17,NY,59341,567,0,21
2020-06-18,NY,68541,618,0,32
2020-06-19,NY,79303,796,0,25
2020-06-20,NY,68830,716,0,24
2020-06-21,NY,67526,664,0,15
2020-06-22,NY,56780,552,0,14
2020-06-23,NY,48709,597,0,27
2020-06-24,NY,51144,581,0,16
2020-06-25,NY,67642,749,0,18
2020-06-26,NY,61723,805,0,14
2020-06-27,NY,73262,703,0,16
2020-06-28,NY,61906,616,0,5
2020-06-29,NY,46428,391,0,7
2020-06-30,NY,52025,524,0,13
2020-07-01,NY,56710,625,0,11
2020-07-02,NY,69945,875,0,11
2020-07-03,NY,66392,918,0,8
2020-07-04,NY,62403,726,0,11
2020-07-05,NY,63415,533,0,8
2020-07-06,NY,54328,518,0,9
2020-07-07,NY,56736,588,0,11
2020-07-08,NY,57585,692,0,20
2020-07-09,NY,65564,584,0,15
2020-07-10,NY,73558,786,0,9
2020-07-11,NY,69203,730,0,6
2020-07-12,NY,62418,677,0,5
2020-07-13,NY,51687,557,0,10
2020-07-14,NY,60045,912,0,5
2020-07-15,NY,63598,831,0,9
2020-07-16,NY,72685,769,0,11
2020-07-17,NY,78239,776,0,10
2020-07-18,NY,69817,754,0,11
2020-07-19,NY,46204,502,0,13
2020-07-20,NY,49342,519,0,8
2020-07-21,NY,66169,855,0,2
2020-07-22,NY,67659,705,0,10
2020-07-23,NY,69698,811,0,13
2020-07-24,NY,76507,753,0,9
2020-07-25,NY,71466,750,0,13
2020-07-26,NY,53568,536,0,3
2020-07-27,NY,57270,608,0,11
2020-07-28,NY,57397,534,0,9
2020-07-29,NY,62276,715,0,6
2020-07-30,NY,73546,777,0,13
2020-07-31,NY,68869,644,0,5
2020-08-01,NY,82737,753,0,14
2020-08-02,NY,58961,531,0,6
2020-08-03,NY,51839,545,0,2
2020-08-04,NY,70993,746,0,3
2020-08-05,NY,72668,636,0,4
2020-08-06,NY,72370,703,0,6
2020-08-07,NY,70170,714,0,5
2020-08-08,NY,74857,703,0,5
2020-08-09,NY,65812,515,0,7
2020-08-10,NY,54002,476,0,2
2020-08-11,NY,77059,667,0,7
2020-08-12,NY,87776,700,0,7
2020-08-13,NY,87900,737,0,10
2020-08-14,NY,85455,727,0,4
2020-08-15,NY,88668,734,0,12
2020-08-16,NY,77692,607,0,6
2020-08-17,NY,56891,408,0,6
2020-08-18,NY,66891,655,0,8
2020-08-19,NY,80425,631,0,6
2020-08-20,NY,80984,601,0,5
2020-08-21,NY,98880,709,0,3
2020-08-22,NY,94849,653,0,4
2020-08-23,NY,74043,572,0,6
2020-08-24,NY,62031,408,0,7
2020-08-25,NY,67255,629,0,2
2020-08-26,NY,71189,566,0,8
2020-08-27,NY,83437,791,0,4
2020-08-28,NY,97826,636,0,3
2020-08-29,NY,93873,635,0,7
2020-08-30,NY,100022,698,0,8
2020-08-31,NY,66241,656,0,1
2020-09-01,NY,76997,754,0,3
2020-09-02,NY,88447,708,0,5
2020-09-03,NY,88981,889,0,7
2020-09-04,NY,93395,864,0,5
2020-09-05,NY,99761,801,0,2
2020-09-06,NY,85630,729,0,9
2020-09-07,NY,58865,520,0,2
2020-09-08,NY,57826,557,0,6
2020-09-09,NY,63230,576,0,3
2020-09-10,NY,76813,757,0,7
2020-09-11,NY,89722,880,0,5
2020-09-12,NY,102925,849,0,2
2020-09-13,NY,72668,725,0,6
2020-09-14,NY,63358,583,0,4
2020-09-15,NY,73678,766,0,11
2020-09-16,NY,75087,652,0,5
2020-09-17,NY,91504,896,0,3
2020-09-18,NY,89727,790,0,10
2020-09-19,NY,110444,986,0,2
2020-09-20,NY,100355,862,0,2
