,date,year,month,day,state,tests,cases,hospitalizations,deaths,month_name
0,2020-01-13,2020,1,13,WA,0,0,0,0,January
1,2020-01-14,2020,1,14,WA,0,0,0,0,January
2,2020-01-15,2020,1,15,WA,0,0,0,0,January
3,2020-01-16,2020,1,16,WA,0,0,0,0,January
4,2020-01-17,2020,1,17,WA,0,0,0,0,January
5,2020-01-18,2020,1,18,WA,0,0,0,0,January
6,2020-01-19,2020,1,19,WA,0,1,0,0,January
7,2020-01-20,2020,1,20,WA,0,0,0,0,January
8,2020-01-21,2020,1,21,WA,0,1,0,0,January
9,2020-01-22,2020,1,22,MA,0,0,0,0,January
10,2020-01-22,2020,1,22,WA,0,0,0,0,January
11,2020-01-23,2020,1,23,MA,1,0,0,0,January
12,2020-01-23,2020,1,23,WA,0,0,0,0,January
13,2020-01-24,2020,1,24,MA,0,0,0,0,January
14,2020-01-24,2020,1,24,WA,0,0,0,0,January
15,2020-01-25,2020,1,25,MA,0,0,0,0,January
16,2020-01-25,2020,1,25,WA,0,0,0,0,January
17,2020-01-26,2020,1,26,MA,0,0,0,0,January
18,2020-01-26,2020,1,26,WA,0,0,0,0,January
19,2020-01-27,2020,1,27,MA,1,0,0,0,January
20,2020-01-27,2020,1,27,VA,0,0,0,0,January
21,2020-01-27,2020,1,27,WA,0,0,0,0,January
22,2020-01-28,2020,1,28,MA,0,0,0,0,January
23,2020-01-28,2020,1,28,VA,0,0,0,0,January
24,2020-01-28,2020,1,28,WA,0,0,0,0,January
25,2020-01-29,2020,1,29,FL,0,0,0,0,January
26,2020-01-29,2020,1,29,MA,1,0,0,0,January
27,2020-01-29,2020,1,29,VA,0,0,0,0,January
28,2020-01-29,2020,1,29,WA,0,0,0,0,January
29,2020-01-30,2020,1,30,FL,0,0,0,0,January
30,2020-01-30,2020,1,30,MA,0,0,0,0,January
31,2020-01-30,2020,1,30,VA,0,0,0,0,January
32,2020-01-30,2020,1,30,WA,0,0,0,0,January
33,2020-01-31,2020,1,31,FL,3,0,0,0,January
34,2020-01-31,2020,1,31,MA,0,0,0,0,January
35,2020-01-31,2020,1,31,VA,0,0,0,0,January
36,2020-01-31,2020,1,31,WA,0,0,0,0,January
37,2020-02-01,2020,2,1,FL,0,0,0,0,February
38,2020-02-01,2020,2,1,MA,0,0,0,0,February
39,2020-02-01,2020,2,1,VA,0,0,0,0,February
40,2020-02-01,2020,2,1,WA,0,0,0,0,February
41,2020-02-02,2020,2,2,FL,0,0,0,0,February
42,2020-02-02,2020,2,2,MA,0,0,0,0,February
43,2020-02-02,2020,2,2,VA,0,0,0,0,February
44,2020-02-02,2020,2,2,WA,0,0,0,0,February
45,2020-02-03,2020,2,3,FL,0,0,0,0,February
46,2020-02-03,2020,2,3,MA,3,0,0,0,February
47,2020-02-03,2020,2,3,VA,0,0,0,0,February
48,2020-02-03,2020,2,3,WA,0,1,0,0,February
49,2020-02-04,2020,2,4,FL,2,0,0,0,February
50,2020-02-04,2020,2,4,MA,2,0,0,0,February
51,2020-02-04,2020,2,4,VA,0,0,0,0,February
52,2020-02-04,2020,2,4,WA,0,0,0,0,February
53,2020-02-05,2020,2,5,FL,0,0,0,0,February
54,2020-02-05,2020,2,5,MA,0,0,0,0,February
55,2020-02-05,2020,2,5,VA,0,0,0,0,February
56,2020-02-05,2020,2,5,WA,0,0,0,0,February
57,2020-02-06,2020,2,6,FL,0,0,0,0,February
58,2020-02-06,2020,2,6,MA,1,0,0,0,February
59,2020-02-06,2020,2,6,VA,0,0,0,0,February
60,2020-02-06,2020,2,6,WA,0,2,0,0,February
61,2020-02-07,2020,2,7,FL,0,0,0,0,February
62,2020-02-07,2020,2,7,MA,0,0,0,0,February
63,2020-02-07,2020,2,7,VA,0,0,0,0,February
64,2020-02-07,2020,2,7,WA,0,0,0,0,February
65,2020-02-08,2020,2,8,FL,1,0,0,0,February
66,2020-02-08,2020,2,8,MA,1,0,0,0,February
67,2020-02-08,2020,2,8,VA,0,0,0,0,February
68,2020-02-08,2020,2,8,WA,0,0,0,0,February
69,2020-02-09,2020,2,9,FL,0,0,0,0,February
70,2020-02-09,2020,2,9,MA,0,0,0,0,February
71,2020-02-09,2020,2,9,VA,0,0,0,0,February
72,2020-02-09,2020,2,9,WA,0,0,0,0,February
73,2020-02-10,2020,2,10,FL,0,0,0,0,February
74,2020-02-10,2020,2,10,MA,1,0,0,0,February
75,2020-02-10,2020,2,10,NJ,0,0,0,0,February
76,2020-02-10,2020,2,10,VA,0,0,0,0,February
77,2020-02-10,2020,2,10,WA,0,0,0,0,February
78,2020-02-11,2020,2,11,FL,1,0,0,0,February
79,2020-02-11,2020,2,11,MA,0,0,0,0,February
80,2020-02-11,2020,2,11,NJ,0,0,0,0,February
81,2020-02-11,2020,2,11,VA,0,0,0,0,February
82,2020-02-11,2020,2,11,WA,0,0,0,0,February
83,2020-02-12,2020,2,12,FL,0,0,0,0,February
84,2020-02-12,2020,2,12,MA,1,0,0,0,February
85,2020-02-12,2020,2,12,NJ,0,0,0,0,February
86,2020-02-12,2020,2,12,VA,0,0,0,0,February
87,2020-02-12,2020,2,12,WA,0,0,0,0,February
88,2020-02-13,2020,2,13,FL,1,0,0,0,February
89,2020-02-13,2020,2,13,MA,0,0,0,0,February
90,2020-02-13,2020,2,13,NJ,0,0,0,0,February
91,2020-02-13,2020,2,13,VA,0,0,0,0,February
92,2020-02-13,2020,2,13,WA,0,1,0,0,February
93,2020-02-14,2020,2,14,FL,0,0,0,0,February
